,0,1
0,형태,6
1,스모그,47
2,바람,2
3,기온역전,11
4,기상,2
5,상태,2
6,발생,8
7,조건,1
8,높이,1
9,것,4
10,도시,2
11,근처,1
12,산맥,1
13,데,2
14,한몫,1
15,피해,11
16,미국,2
17,펜실베이니아주,1
18,도,1
19,광화학,21
20,여,1
21,명,3
22,사망,3
23,가량,1
24,병,1
25,영국,9
26,런던,49
27,집중,1
28,현상,3
29,동안,2
30,약,1
31,식물,1
32,죽,1
33,건축,1
34,재의,1
35,부식,1
36,진행,1
37,서울,23
38,주로,4
39,미세먼지,2
40,오염,2
41,대기,1
42,습도,1
43,날,1
44,하늘,1
45,볼,1
46,수,2
47,거리,1
48,대기오염,2
49,겨울,19
50,봄,1
51,난방,2
52,산업,1
53,연료,3
54,연소,3
55,중,1
56,황산,2
57,화물,1
58,먼지,1
59,때문,4
60,여름,1
61,자동차,4
62,질소,2
63,산화물,2
64,탄화수소,2
65,반응,3
66,주요,1
67,원인,1
68,과정,2
69,성분,1
70,황화,1
71,화석연료,1
72,이산화황,2
73,일산화탄소,1
74,형,23
75,배기,1
76,가스,1
77,화산,6
78,자연,1
79,폭발,1
80,분출,1
81,혼합형,5
82,종류,4
83,크게,1
84,원래,28
85,석탄,1
86,여러,1
87,가지,1
88,결과물,1
89,안개,3
90,회색,1
91,식,1
92,달리,1
93,배기가스,3
94,석유,1
95,후,2
96,이후,1
97,빛,1
98,화학반응,1
99,통해,1
100,생물,1
101,화합물,1
102,황,1
103,갈색,1
104,로스엔젤레스,1
105,처음,1
106,확인,1
107,과거,1
108,로스앤젤레스,2
109,기도,1
110,속,2
111,함유,1
112,올레,1
113,혼합물,1
114,태양,1
115,광선,1
116,작용,1
117,고도,1
118,공장,1
119,및,2
120,빌딩,1
121,시설,1
122,일반,1
123,가정,1
124,등,2
125,배출,2
126,아황산가스,2
127,매연,2
128,직접,1
129,굴뚝,1
130,물질,2
131,상황,1
132,연기,1
133,형성,1
134,경우,1
135,인체,2
136,영향,1
137,눈,1
138,벤젠,14
139,톨루엔,1
140,햇빛,2
141,장기간,1
142,노,1
143,출시,1
144,백혈병,1
145,암,1
146,유발,1
147,사건,1
148,첫,1
149,주,1
150,호흡,1
151,장애,2
152,질식,1
153,여명,1
154,시민,1
155,그,1
156,만성,1
157,폐,1
158,질환,1
159,추가,1
160,총,1
161,생명,1
162,멕시코,15
163,시티,1
164,차량,2
165,분진,1
166,오존,1
167,불량,1
168,지수,1
169,생활환경,1
170,위험,1
171,지표,1
172,배,1
173,초과,1
174,우려,1
175,자외선,1
176,맑은,1
177,시정,1
178,연,1
179,보기,19
180,오존층,1
181,산성비,1
182,황사,1
183,각주,1
184,출처,1
185,외부,1
186,링크,1
187,조윤승,1
188,건강,1
189,참사,1
190,재,1
191,조명,1
192,환경,1
193,위생,1
194,학회,1
195,인호,7
196,고교생,1
197,화학,1
198,스페셜,1
199,화사,1
200,중국,1
201,베이징,2
202,잡기,1
203,네이버,6
204,국어사전,1
205,두산,1
206,백과사전,1
207,탈황,1
208,전기,1
